ADNI C11 Static Brain  PIB,1
ADNI C11 Static Brain (4x5),1
ADNI C11 Static Brain (4x5)  PIB,1
ADNI C11PIB Brain (4x5),1
ADNI DYN BRAIN (AC),1
ADNI DYN BRAIN_F18AV45_4i12s (AC),1
ADNI EMISSION (6X5) S431,1
ADNI Early AV45 Brain_20min dyn,1
ADNI F18-FGD_DYN BRAIN_4i12s (AC)  FDG,1
ADNI FDG (6X5),1
ADNI FDG 1419,1
ADNI FDG Brain_30min400DYN,1
ADNI FDG ITER img,1
ADNI FDG STATIC 6X5,1
ADNI FDG Static Brain (6x5),1
ADNI FDG(6x5)FI AC,1
ADNI GO ITERATIVE FDG,1
ADNI GO PRIMARY  Early AV45,1
ADNI GO PRIMARY 3DIR FDG,1
ADNI GO PRIMARY AV45,1
ADNI GO PRIMARY AV45 EARLY ADD ON  Early AV45,1
ADNI GO PRIMARY AV45 Early AV45,1
ADNI GO PRIMARY dynamic  Early AV45,1
ADNI PET -FDG,1
ADNI PET BRAIN FDG (AC),1
ADNI PET BRAIN PIB,1
ADNI PET BRAIN-AMYLOID (AC)  AV45,1
ADNI PET BRAIN-AMYLOID-RECONS (AC) AV45,1
ADNI PET Brain-PIB,1
ADNI PET_Brain,1
ADNI PIB Static Brain (4x5),1
ADNI PiB Brain PIB,1
ADNI Pib Brain PIB,1
ADNI STATIC BRAIN (4x5)FORE-IT AV45,1
ADNI STATIC BRAIN (6x5) 28CM,1
ADNI STATIC BRAIN (6x5) AR,1
ADNI STATIC BRAIN (6x5)FI  FDG,1
ADNI Static BRAIN (6x5),1
ADNI Static Brain (4 x 5)  PIB,1
ADNI Static Brain (4x5)  PIB,1
ADNI Static Brain (4x5) C11 PIB,1
ADNI Static Brain (4x5) PIB,1
ADNI Static Brain (6x5)  PIB,1
ADNI Static Brain (6x5) FDG,1
ADNI static (6x5),1
ADNI static Brain (6x5) TM,1
"ADNI-2 EARLY FLOW AV45,  Early AV45",1
"ADNI-2 EARLY FLOW,.  Early AV45",1
ADNI-2 F-18 AV45 AC,1
ADNI-2 F18 AC AV45,1
ADNI-2 FDG,1
ADNI-2 ITER FDG MODEL-24S,1
ADNI-2 RECON 1 AV45,1
ADNI-2 RECON 1 Early AV45,1
ADNI-2-Early-AV-45 SCAN FROM INJECTION,1
ADNI-2-FDG RECON 2,1
ADNI-GO FDG MODEL-24 FORE-ITER,1
ADNI-GO RECON 1 AV45,1
ADNI-GO RECON 1A AV45,1
ADNI2 (AC) AV45,1
ADNI2 (AC) FDG,1
ADNI2 AV-45  Brain (4x5) AV45,1
ADNI2 AV45 (EARLY ADD-ON) (AC),1
ADNI2AV-45Brain(6x5) AV45,1
ADNI2FDGBrain(6x5)ITERATIVE,1
ADNI2FDGBrain(6x5)SLWNOFILTER,1
ADNI2FDGBrainDS,1
ADNIBRAIN6X5,1
ADNIGO - FDG BRAIN 612 corr,1
ADNIGo AV45 ,1
ADNISTUDY6X5,1
ADNIStaciBrain6x5,1
ADNI_1VUE_POINT_IT FDG 3D,1
ADNI_3D_Brain_ITERATIVE 21 FDG,1
ADNI_3D_Brain_ITERATIVE_AV45_EARLY,1
ANONYMIZED AV45,1
AV-45 DYN BRAIN (4x5)  AV45,1
AV-454X5MIN3DFORE-IR AV45,1
AV45 30 MIN 3D,1
AV45 Dynamic-1 - Iter Early,1
AV45 PET BRAIN 2... (AC),1
BRAIN AP,1
Baseline 6i/16s,1
Brain ADNI-6month,1
Brain LM  DYNAMIC AV-45  AV45,1
Brain LM  DYNAMIC_rerecon  FDG,1
Brain1corr AV45,1
C11 PIB,1
C11 PIB 4Frames X 5 Min,1
Copy Matrix - Iter(Brain Mod PIB,1
Copy Matrix - Iter(Brain Mode),1
Dynamic 1 FDG Seg - Iter(Brain,1
ELAN_FDG 6F 4i/16s ,1
EMISSION 6i/16s  FDG,1
Early 20 minutes - Iter(Brain M,1
Early AV45 Early AV45,1
Emission 20min - Iter(Brain Mod PIB,1
FDG Brain Em - Iter(Brain Mode),1
FDG PET BRAIN 1 (AC),1
FDG PET BRAIN 1... (AC),1
FDG PET BRAIN 2 (AC),1
"FDG, combined series",1
FDG_Dyn_6x5min_frames_2Di_336_2z_AllPass (AC),1
FORE-IRFDG6X5MIN3D,1
FORE-ITER CENTER P: -5.00  AV45,1
FORE-ITERATIVE6X5MIN3DFDGBASELINE,1
FORE-ITERATIVEAV-454X5MINBASELINE  AV45,1
FORE-ITERATIVEFDG6X5MIN3DBASELINE,1
Florbetapir Brain 4X5 MIN  AV45,1
GUH-PET ADNI 2B Recon  Iterative FDG,1
GUH-PET ADNI Iterative 2C Recon  FDG,1
